Subdivision,Year,Prev_Rainfall,Predicted_Rainfall (mm),Rainfall_JF,Rainfall_MAM,Rainfall_JJAS,Rainfall_OND
Andaman & Nicobar Islands,2018,2890.0,2885.97,234.2,417.1,1526.0,712.6
Arunachal Pradesh,2018,2745.3,2678.92,94.4,827.0,1583.5,240.3
Assam & Meghalaya,2018,2711.7,2716.16,39.5,695.9,1742.7,233.5
Bihar,2018,1112.0,1135.45,0.7,124.3,936.8,50.2
Chhattisgarh,2018,1124.4,1128.73,1.6,19.8,1041.2,61.8
Coastal Andhra Pradesh,2018,892.7,894.86,1.0,52.0,668.8,170.9
Coastal Karnataka,2018,2947.6,3001.59,1.1,141.0,2593.2,212.3
East Madhya Pradesh,2018,840.1,842.85,11.3,13.4,795.8,19.5
East Rajasthan,2018,600.3,617.91,8.4,21.3,566.9,3.8
East Uttar Pradesh,2018,695.0,698.19,9.8,32.2,650.0,3.0
Gangetic West Bengal,2018,1568.6,1563.94,1.4,167.3,1138.9,261.1
Gujarat Region,2018,1024.4,1031.07,0.0,0.2,997.7,26.6
Haryana Delhi & Chandigarh,2018,421.6,427.45,34.5,21.8,359.4,6.0
Himachal Pradesh,2018,1182.2,1182.71,204.0,207.3,715.7,55.2
Jammu & Kashmir,2018,1278.9,1235.36,361.8,280.1,543.9,93.1
Jharkhand,2018,1165.8,1168.94,5.2,66.6,988.2,105.9
Kerala,2018,2664.9,2639.33,13.0,353.9,1856.5,441.5
Konkan & Goa,2018,3443.4,3455.49,0.0,47.0,3213.8,182.6
Lakshadweep,2018,1738.9,1692.84,22.2,247.8,1108.3,360.7
Madhya Maharashtra,2018,994.4,1000.74,0.0,19.2,852.3,122.9
Matathwada,2018,755.6,768.17,0.0,8.1,642.1,105.4
Naga Mani Mizo Tripura,2018,2805.4,2757.28,12.7,599.7,1829.8,363.3
North Interior Karnataka,2018,739.6,739.22,0.0,65.5,520.5,153.7
Orissa,2018,1344.5,1342.97,1.7,93.8,1053.1,195.9
Punjab,2018,497.5,496.44,45.5,39.1,390.1,22.9
Rayalseema,2018,834.5,845.54,3.9,61.5,507.2,261.8
Saurashtra & Kutch,2018,652.1,659.65,0.1,0.1,645.8,6.1
South Interior Karnataka,2018,1061.7,1069.47,5.0,191.8,665.2,199.8
Sub Himalayan West Bengal & Sikkim,2018,2684.9,2678.27,8.1,458.2,2047.3,171.3
Tamil Nadu,2018,973.0,957.86,38.4,126.1,414.6,393.9
Telangana,2018,815.7,820.26,0.0,34.3,664.9,116.4
Uttarakhand,2018,1476.0,1494.59,50.1,205.6,1199.0,21.3
Vidarbha,2018,803.0,808.57,0.2,13.4,731.5,57.9
West Madhya Pradesh,2018,769.0,773.65,6.5,8.5,738.0,16.0
West Rajasthan,2018,408.3,418.8,6.3,33.6,365.9,2.4
West Uttar Pradesh,2018,585.2,599.32,23.1,23.4,536.5,2.2
